"","City","Scenario","Year","PE","Median","Lower","Upper"
"1","Atlanta","Status Quo",2015,1687.77136882435,1697.58250794309,1479.70083255295,2052.11317078991
"2","Atlanta","Status Quo",2016,1667.63254486164,1676.59347941786,1447.85113877258,2010.68241743661
"3","Atlanta","Status Quo",2017,1637.45594694172,1645.48890202739,1408.09637887345,1982.79316724607
"4","Atlanta","Status Quo",2018,1611.36133925066,1620.84807158966,1375.69136512808,1976.45651451275
"5","Atlanta","Status Quo",2019,1593.71842355303,1602.96115858196,1349.42094428108,1981.18333503156
"6","Atlanta","Status Quo",2020,1582.18529612047,1594.03852922356,1333.80126585309,1983.85008377281
"7","Atlanta","Status Quo",2021,1575.5079265428,1589.26043474085,1317.73595487214,1991.88324116246
"8","Atlanta","Status Quo",2022,1572.94322633391,1585.94092044447,1307.31063318102,2003.03675723084
"9","Atlanta","Status Quo",2023,1573.93939257425,1590.73829911853,1304.27284812568,2015.03968729683
"10","Atlanta","Status Quo",2024,1578.03925365438,1596.57307683576,1302.13125301738,2033.73234020303
"11","Atlanta","Status Quo",2025,1584.85537978568,1604.19319454854,1304.96710745738,2056.26751846675
"12","Atlanta","Status Quo",2026,1594.06094015998,1613.7533635716,1309.2280763837,2080.67067933987
"13","Atlanta","Status Quo",2027,1605.38247768704,1625.37413564153,1316.17533223136,2106.84087369773
"14","Atlanta","Status Quo",2028,1618.59260740045,1638.94230054008,1325.29825460933,2145.91235945442
"15","Atlanta","Status Quo",2029,1633.50296609741,1656.02249033118,1337.14849672566,2177.95786199159
"16","Atlanta","Status Quo",2030,1649.9578278806,1673.31442508299,1350.23599184969,2222.93188627241
"17","Atlanta","Status Quo",2031,1667.82856926313,1692.33552123035,1364.98541812655,2265.52768217648
"18","Atlanta","Status Quo",2032,1687.00899713785,1713.10085683703,1381.06868521068,2305.61322566616
"19","Atlanta","Status Quo",2033,1707.41146734718,1733.84220093213,1397.89951006215,2350.48194504871
"20","Atlanta","Status Quo",2034,1728.9636899636,1756.37487246676,1415.39751006156,2397.53698493565
"21","Atlanta","Status Quo",2035,1751.60611349634,1779.71766130514,1433.44610176531,2440.48703729902
"22","Atlanta","Status Quo",2036,1775.28978889801,1804.27352846082,1453.45588751681,2490.85612483629
"23","Atlanta","Status Quo",2037,1799.97462724856,1829.67995295177,1472.24021521401,2538.59312134053
"24","Atlanta","Status Quo",2038,1825.62797865822,1857.40353892989,1490.11489586691,2590.7244942544
"25","Atlanta","Status Quo",2039,1852.22347249379,1886.21716680306,1511.16594704752,2644.20240725506
"26","Atlanta","Status Quo",2040,1879.74006991478,1914.77591367081,1535.34980519973,2699.00723054746
"27","Atlanta","Documented",2015,1687.77136882435,1697.58250794309,1479.70083255295,2052.11317078991
"28","Atlanta","Documented",2016,1667.63254486164,1676.59347941786,1447.85113877258,2010.68241743661
"29","Atlanta","Documented",2017,1637.45594694172,1645.48890202739,1408.09637887345,1982.79316724607
"30","Atlanta","Documented",2018,1611.36133925066,1620.84807158966,1375.69136512808,1976.45651451275
"31","Atlanta","Documented",2019,1593.71842355303,1602.96115858196,1349.42094428108,1981.18333503156
"32","Atlanta","Documented",2020,1568.38831232452,1579.12188503791,1321.53424258205,1967.15431563962
"33","Atlanta","Documented",2021,1469.50534688991,1481.44524266352,1219.07017919411,1873.17291343074
"34","Atlanta","Documented",2022,1345.089624286,1357.95787844271,1095.19102816575,1753.83113892059
"35","Atlanta","Documented",2023,1257.96823511473,1269.88082464402,1003.23582047553,1678.92085285832
"36","Atlanta","Documented",2024,1197.44842056412,1211.46734919977,941.441012857289,1634.76980089381
"37","Atlanta","Documented",2025,1155.14225318418,1169.74117147102,893.572646241008,1608.90742265796
"38","Atlanta","Documented",2026,1126.03219449568,1142.25247891643,859.597838565649,1595.91380998669
"39","Atlanta","Documented",2027,1106.73044274735,1123.214025014,838.839639358019,1594.18456186792
"40","Atlanta","Documented",2028,1094.80766267955,1112.26183293257,823.221342958837,1599.80353131516
"41","Atlanta","Documented",2029,1088.48094433117,1107.03348956735,813.534619976848,1610.08547102629
"42","Atlanta","Documented",2030,1129.28950974345,1147.67258816266,839.651873376785,1685.71504678118
"43","Atlanta","Documented",2031,1234.81410480398,1250.94664539074,916.985412661356,1825.99484404319
"44","Atlanta","Documented",2032,1332.00713073896,1348.67888882263,992.057892965478,1953.6393820325
"45","Atlanta","Documented",2033,1420.32438465423,1435.78188348986,1068.94887726148,2082.17856125634
