"","NewDiag","NewDiag_low","NewDiag_hi","Year","City"
"2012",1286.02062874544,1272.22656866323,1295.55075402013,2012,"Atlanta, GA"
"2013",1313.82527646738,1279.60166055337,1338.71282381597,2013,"Atlanta, GA"
"2014",1347.72196310467,1292.67582937778,1392.9980061087,2014,"Atlanta, GA"
"2015",1385.35610767728,1304.85712793925,1453.40939905435,2015,"Atlanta, GA"
"2016",1334.29074960417,1236.89788310874,1415.09112303835,2016,"Atlanta, GA"
"2017",1273.31757011403,1164.00390216841,1364.29235213871,2017,"Atlanta, GA"
"2018",1217.759374494,1098.38570259178,1318.43461143998,2018,"Atlanta, GA"
"2019",1167.71435624459,1038.74559770667,1275.70596382542,2019,"Atlanta, GA"
"2020",1124.99112888199,988.917171007334,1242.86420070929,2020,"Atlanta, GA"
"2021",1090.1948066647,947.841959431085,1218.28864465309,2021,"Atlanta, GA"
"2022",1062.92483026927,915.508111717009,1200.54828442149,2022,"Atlanta, GA"
"2023",1042.17302010053,888.871074428381,1185.27241726487,2023,"Atlanta, GA"
"2024",1027.62190621402,868.535072181647,1176.61326104328,2024,"Atlanta, GA"
"2025",1017.42127526285,853.425291160203,1171.41306759752,2025,"Atlanta, GA"
"2026",1011.4960904628,841.724361934718,1170.4981426651,2026,"Atlanta, GA"
"2027",1009.64199975983,835.347812265847,1171.99181148362,2027,"Atlanta, GA"
"2028",1010.59319971485,832.194118141128,1176.82460524732,2028,"Atlanta, GA"
"2029",1013.4695138739,831.36421214322,1183.42144035219,2029,"Atlanta, GA"
"2030",1018.7297478749,833.406802096413,1191.35409392055,2030,"Atlanta, GA"
"2031",1025.75536200512,837.955572792316,1201.21132429957,2031,"Atlanta, GA"
"2032",1034.26194387904,843.086768919671,1213.272793788,2032,"Atlanta, GA"
"2033",1044.09711874484,849.109390188626,1225.78302882195,2033,"Atlanta, GA"
"2034",1055.56289503874,856.931729925945,1239.43251208763,2034,"Atlanta, GA"
"2035",1067.49078013428,865.804467202217,1254.48548851961,2035,"Atlanta, GA"
"2036",1079.95519112719,875.563215997005,1270.7907363789,2036,"Atlanta, GA"
"2037",1094.02634226622,886.45789988836,1289.62757658874,2037,"Atlanta, GA"
"2038",1108.19423368228,897.742053117402,1307.592838238,2038,"Atlanta, GA"
"2039",1123.57879374671,910.090421545046,1327.50497931937,2039,"Atlanta, GA"
"2040",1139.52245538035,922.768431722796,1347.19714816334,2040,"Atlanta, GA"
"20121",334.644312946051,330.648743263769,336.734393483737,2012,"Baltimore, MD"
"20131",305.315556984968,300.833655539855,309.396973968831,2013,"Baltimore, MD"
"20141",292.219020945549,288.678061691065,297.055220878009,2014,"Baltimore, MD"
"20151",290.999705114833,286.995447499635,296.942103865805,2015,"Baltimore, MD"
"20161",292.611628798692,287.235387102273,300.088327552672,2016,"Baltimore, MD"
"20171",291.216565481664,283.517115381035,300.561723986265,2017,"Baltimore, MD"
"20181",290.876620565029,278.791278534595,302.110743047325,2018,"Baltimore, MD"
"20191",290.088964605221,272.661511989366,303.577108124423,2019,"Baltimore, MD"
"20201",289.750665700038,266.490836436613,305.530593786651,2020,"Baltimore, MD"
"20211",290.259598633831,260.86216765977,308.86045830566,2021,"Baltimore, MD"
"20221",291.592374201188,256.702889646037,313.52587700497,2022,"Baltimore, MD"
"20231",293.666518859549,253.669668767488,318.628610465651,2023,"Baltimore, MD"
"20241",296.307461280605,250.97295544275,324.622126304949,2024,"Baltimore, MD"
"20251",299.719535305962,249.794187004056,330.771295501666,2025,"Baltimore, MD"
"20261",303.591229897074,249.916640265094,337.168020564076,2026,"Baltimore, MD"
"20271",307.720372189064,250.648687192831,343.842193043046,2027,"Baltimore, MD"
"20281",312.227951430221,251.360652806233,350.615049714996,2028,"Baltimore, MD"
"20291",316.740598542533,252.127746062474,357.478829859051,2029,"Baltimore, MD"
"20301",321.672482759665,254.419831576157,364.539555336888,2030,"Baltimore, MD"
"20311",326.711364189022,257.068329100197,371.493202140832,2031,"Baltimore, MD"
"20321",331.877446896507,260.023435783198,378.510609455083,2032,"Baltimore, MD"
"20331",337.333043873562,263.05785111151,385.621353456878,2033,"Baltimore, MD"
"20341",343.066325322259,266.382647410942,392.686655346899,2034,"Baltimore, MD"
"20351",348.951964793132,270.02493356915,399.916246576106,2035,"Baltimore, MD"
"20361",354.899882362863,273.421827273801,407.2128752558,2036,"Baltimore, MD"
"20371",360.943921960675,276.771594504345,414.665601537168,2037,"Baltimore, MD"
"20381",367.187927403732,280.194821589078,422.337867756159,2038,"Baltimore, MD"
"20391",373.51915220719,283.85211922743,429.902101977101,2039,"Baltimore, MD"
"20401",379.985911308102,287.88442477954,437.600323033451,2040,"Baltimore, MD"
"20122",1772.35427353874,1731.68664820706,1805.00800694949,2012,"Los Angeles, CA"
"20132",1760.7600508849,1673.31593488215,1839.15753069235,2013,"Los Angeles, CA"
"20142",1767.47808065536,1661.190179359,1882.56477702363,2014,"Los Angeles, CA"
"20152",1799.37691554309,1670.33016035584,1948.88996706117,2015,"Los Angeles, CA"
"20162",1829.58335606015,1678.64780472708,2016.99374052985,2016,"Los Angeles, CA"
"20172",1848.58421577984,1679.77835022069,2072.2352033899,2017,"Los Angeles, CA"
"20182",1865.83445001056,1676.1366649777,2112.36622793303,2018,"Los Angeles, CA"
"20192",1877.01319905578,1669.20724925417,2146.71549270169,2019,"Los Angeles, CA"
"20202",1886.79304834592,1660.13276826905,2176.1851771061,2020,"Los Angeles, CA"
"20212",1894.12166830489,1649.54763425828,2206.78307168751,2021,"Los Angeles, CA"
"20222",1899.38376207116,1640.40604081531,2226.73148233567,2022,"Los Angeles, CA"
"20232",1904.50638820981,1630.79001192235,2248.73985189876,2023,"Los Angeles, CA"
"20242",1905.77639906481,1618.03894249701,2268.76645733282,2024,"Los Angeles, CA"
"20252",1908.11253193514,1600.8932984425,2283.20601284332,2025,"Los Angeles, CA"
"20262",1906.81234239119,1586.53348775429,2300.73719881106,2026,"Los Angeles, CA"
"20272",1904.53383882624,1568.46272859458,2312.80892995451,2027,"Los Angeles, CA"
"20282",1901.78995682102,1551.54159703658,2325.91727870743,2028,"Los Angeles, CA"
"20292",1901.50761278646,1536.06808394825,2334.14675239679,2029,"Los Angeles, CA"
"20302",1896.82166674285,1516.65130578547,2347.20005375106,2030,"Los Angeles, CA"
"20312",1889.685890388,1497.63388114515,2353.31452405229,2031,"Los Angeles, CA"
"20322",1882.06478661123,1478.99681424519,2361.40816731811,2032,"Los Angeles, CA"
"20332",1874.48174003428,1462.95453110688,2367.9790328661,2033,"Los Angeles, CA"
"20342",1866.97848835254,1441.53918038825,2373.68222006174,2034,"Los Angeles, CA"
"20352",1857.28752066738,1421.45886517617,2378.9665315287,2035,"Los Angeles, CA"
"20362",1847.76427944018,1402.94347559259,2382.36625356149,2036,"Los Angeles, CA"
"20372",1839.03714891462,1384.18243324297,2380.85190142552,2037,"Los Angeles, CA"
"20382",1827.50326531473,1365.54890844587,2381.97148110435,2038,"Los Angeles, CA"
"20392",1816.24844714001,1348.58084950035,2383.044467105,2039,"Los Angeles, CA"
"20402",1803.05791694052,1328.29494253664,2382.21085673052,2040,"Los Angeles, CA"
"20123",647.49403755266,641.528343458601,658.640248026565,2012,"Miami, FL"
"20133",704.632099039482,698.211281718414,720.50688941533,2013,"Miami, FL"
"20143",816.731383582908,806.201297220384,832.042864256777,2014,"Miami, FL"
"20153",945.5202273297,921.200221583143,971.856015622414,2015,"Miami, FL"
"20163",1018.59647731008,969.211610307295,1093.58083629448,2016,"Miami, FL"
"20173",1077.03355278141,1008.98107540725,1212.52180951312,2017,"Miami, FL"
"20183",1109.62919691439,1019.74119877635,1300.67259457861,2018,"Miami, FL"
"20193",1122.19167877279,1002.96660356634,1353.0586743073,2019,"Miami, FL"
"20203",1126.84665195649,977.457405930992,1392.06379584848,2020,"Miami, FL"
"20213",1129.09043631267,950.216703332969,1422.7055642933,2021,"Miami, FL"
"20223",1133.66066960217,926.966983743171,1442.9380175177,2022,"Miami, FL"
"20233",1137.95735759823,906.311831344452,1454.70155793326,2023,"Miami, FL"
"20243",1141.96842332011,893.281592157476,1463.0900543971,2024,"Miami, FL"
"20253",1147.48327239546,878.534562996302,1468.05215933618,2025,"Miami, FL"
"20263",1152.82374951397,868.841328991574,1468.30330071158,2026,"Miami, FL"
"20273",1158.1466256997,860.813292961845,1466.03252356564,2027,"Miami, FL"
"20283",1163.98419507384,859.745047869395,1460.98638903388,2028,"Miami, FL"
"20293",1169.12368982001,859.018815778227,1458.93018711078,2029,"Miami, FL"
"20303",1173.83197734951,861.375535417479,1455.17727700317,2030,"Miami, FL"
"20313",1177.56406367187,863.105678438259,1452.50373468667,2031,"Miami, FL"
"20323",1182.39723890829,865.686005275553,1442.2072567383,2032,"Miami, FL"
"20333",1187.24075246295,864.126319861864,1439.26399045145,2033,"Miami, FL"
"20343",1190.94870006998,870.689673170753,1432.27219661303,2034,"Miami, FL"
"20353",1195.15383358965,874.872791975952,1426.87497821559,2035,"Miami, FL"
"20363",1200.20554285324,879.447441318715,1423.15300728033,2036,"Miami, FL"
"20373",1203.28194594635,884.968452008454,1418.57249762228,2037,"Miami, FL"
"20383",1206.89779008516,890.305354004994,1416.70611131902,2038,"Miami, FL"
"20393",1212.64569506413,896.502258209151,1414.69430041684,2039,"Miami, FL"
"20403",1217.73259306893,903.706228003717,1411.83823521347,2040,"Miami, FL"
"20124",1764.12702105335,1743.94575629065,1780.50450729904,2012,"New York City, NY"
"20134",1681.40195542542,1644.01820528137,1722.06216449223,2013,"New York City, NY"
"20144",1603.2728185415,1549.42732100316,1666.6277682748,2014,"New York City, NY"
"20154",1518.91140596517,1451.60171774249,1601.56561618531,2015,"New York City, NY"
"20164",1325.05283908199,1246.70677292913,1415.46483168424,2016,"New York City, NY"
"20174",1170.51057182111,1070.35863859924,1268.59300596286,2017,"New York City, NY"
"20184",1045.16569008168,915.890742358252,1151.65017149448,2018,"New York City, NY"
"20194",947.956044753299,795.143152267577,1064.33686396689,2019,"New York City, NY"
"20204",877.550306555296,702.267311951055,1002.63910181248,2020,"New York City, NY"
"20214",826.946493490264,638.783581537349,963.118833605178,2021,"New York City, NY"
"20224",790.671185958987,595.24587191558,934.639178918718,2022,"New York City, NY"
"20234",764.825058786762,566.982734868982,913.932460266341,2023,"New York City, NY"
"20244",745.258822220887,545.288522408432,897.215907478362,2024,"New York City, NY"
"20254",729.097021248862,527.535839448512,883.209850132992,2025,"New York City, NY"
"20264",716.074419605447,512.911889378804,871.708039418315,2026,"New York City, NY"
"20274",704.909949701516,500.943272895037,860.697460828243,2027,"New York City, NY"
"20284",694.794178810514,492.157709476497,851.138628864761,2028,"New York City, NY"
"20294",685.643750628518,482.886583312665,843.569594460561,2029,"New York City, NY"
"20304",677.013019178141,473.603667195187,835.960302416158,2030,"New York City, NY"
"20314",669.035913398075,464.984630639589,828.701240911975,2031,"New York City, NY"
"20324",661.252140225459,457.038377384707,821.698837054073,2032,"New York City, NY"
"20334",653.926804913202,449.630250894765,814.909746513684,2033,"New York City, NY"
"20344",646.380700876,442.511126785901,808.290452144729,2034,"New York City, NY"
"20354",639.224198549111,435.893331835092,801.821260102484,2035,"New York City, NY"
"20364",632.516246392019,429.951169166836,795.488555674843,2036,"New York City, NY"
"20374",625.689134400302,422.958800806898,789.273083250697,2037,"New York City, NY"
"20384",618.603037706131,416.107640823959,781.944249456335,2038,"New York City, NY"
"20394",612.237709927711,409.465091491741,776.113725949925,2039,"New York City, NY"
"20404",605.92232845141,403.489879746001,770.423968717577,2040,"New York City, NY"
"20125",183.665477334619,181.076631264006,186.226835711845,2012,"Seattle, WA"
"20135",172.480706827303,167.818354816028,177.367247409483,2013,"Seattle, WA"
"20145",163.011493060165,158.237106576418,168.328189428105,2014,"Seattle, WA"
"20155",155.314546531676,150.006370059659,160.880460367549,2015,"Seattle, WA"
"20165",149.302040630037,142.14923275737,157.166383483063,2016,"Seattle, WA"
"20175",145.354560575819,135.84482205743,156.601478825277,2017,"Seattle, WA"
"20185",141.245178827922,129.239202955149,155.819223388228,2018,"Seattle, WA"
"20195",136.78473496188,122.576240054155,154.32087690752,2019,"Seattle, WA"
"20205",132.622901068173,116.310917598015,153.082593491522,2020,"Seattle, WA"
"20215",128.983315307492,110.702844226515,151.596012666313,2021,"Seattle, WA"
"20225",125.933528375755,105.663438281296,151.114269616204,2022,"Seattle, WA"
"20235",123.22925674893,101.183872194688,150.397738747885,2023,"Seattle, WA"
"20245",120.876134857101,96.8885191818966,150.086528131185,2024,"Seattle, WA"
"20255",118.844604893756,93.5768290520984,150.21819734845,2025,"Seattle, WA"
"20265",117.246016076398,90.4239786919789,150.303588413273,2026,"Seattle, WA"
"20275",115.797412044126,87.6225457167405,150.397735234974,2027,"Seattle, WA"
"20285",114.482081395391,85.1015257569375,150.828309054429,2028,"Seattle, WA"
"20295",113.352473092034,82.9079997087444,151.443042065706,2029,"Seattle, WA"
"20305",112.421918641564,80.7593828529659,152.227211966777,2030,"Seattle, WA"
"20315",111.566179088427,79.129840558809,153.168091695847,2031,"Seattle, WA"
"20325",110.803944184018,77.7347060025763,154.211482811962,2032,"Seattle, WA"
"20335",110.115865489509,76.4427908352163,155.424661027891,2033,"Seattle, WA"
"20345",109.570506393104,75.0316967667777,156.474573382808,2034,"Seattle, WA"
