"","NewDiag","NewDiag_low","NewDiag_hi","Year","City"
"2012",1729.06983267844,1711.93386984692,1750.54573388184,2012,"Atlanta, GA"
"2013",1742.41729102167,1698.24827970404,1804.16241151115,2013,"Atlanta, GA"
"2014",1758.49110858751,1683.48411856575,1870.80519995126,2014,"Atlanta, GA"
"2015",1778.41470197637,1675.21780166979,1932.70946469655,2015,"Atlanta, GA"
"2016",1691.0014111796,1571.5995977723,1877.45033061485,2016,"Atlanta, GA"
"2017",1607.95108333367,1470.96412615654,1814.55525795897,2017,"Atlanta, GA"
"2018",1535.2443742653,1386.3313404378,1765.64965987089,2018,"Atlanta, GA"
"2019",1470.6109897216,1309.2842926859,1714.65904054005,2019,"Atlanta, GA"
"2020",1416.48048944869,1249.56242979425,1672.94475146028,2020,"Atlanta, GA"
"2021",1374.99465675474,1198.94383471032,1645.7673828101,2021,"Atlanta, GA"
"2022",1342.69123026363,1156.26283958487,1632.87067481817,2022,"Atlanta, GA"
"2023",1317.71448990494,1126.06792086539,1624.25475766629,2023,"Atlanta, GA"
"2024",1300.1918679204,1102.56973634129,1619.89554573743,2024,"Atlanta, GA"
"2025",1289.44779992491,1083.81423135885,1622.60737601458,2025,"Atlanta, GA"
"2026",1282.72256576544,1071.68738553935,1633.76685430451,2026,"Atlanta, GA"
"2027",1280.25873875444,1062.32319079177,1648.22841429466,2027,"Atlanta, GA"
"2028",1280.76306324432,1056.77307133503,1667.41240486241,2028,"Atlanta, GA"
"2029",1284.24974428357,1055.56743417097,1685.60314115827,2029,"Atlanta, GA"
"2030",1290.09993865214,1057.85704828697,1707.53924350506,2030,"Atlanta, GA"
"2031",1297.52185903678,1061.6398580894,1733.53462999763,2031,"Atlanta, GA"
"2032",1307.39305052508,1066.17636208355,1762.50971120629,2032,"Atlanta, GA"
"2033",1317.58505792045,1073.92966964773,1793.27907334475,2033,"Atlanta, GA"
"2034",1330.29812501711,1082.12165969317,1825.36942671369,2034,"Atlanta, GA"
"2035",1344.16463244856,1090.57746295325,1855.04276036879,2035,"Atlanta, GA"
"2036",1358.73518194212,1100.78138664106,1889.50237333298,2036,"Atlanta, GA"
"2037",1374.63318624311,1112.23653727011,1925.95123309968,2037,"Atlanta, GA"
"2038",1391.08919299143,1124.8305057211,1963.6747421333,2038,"Atlanta, GA"
"2039",1408.9527381031,1137.72114491591,2002.6133448747,2039,"Atlanta, GA"
"2040",1427.3883965368,1151.36779917035,2042.72013138068,2040,"Atlanta, GA"
"20121",682.45249823893,677.344467686606,687.761801901318,2012,"Baltimore, MD"
"20131",625.272269216025,614.14258496662,639.650909283249,2013,"Baltimore, MD"
"20141",577.95751481537,561.499565072299,602.710312094033,2014,"Baltimore, MD"
"20151",543.816031489235,521.479319811115,579.334994518653,2015,"Baltimore, MD"
"20161",515.475729243685,488.249756603021,559.650073199213,2016,"Baltimore, MD"
"20171",487.72038665086,456.582866137717,538.522517495723,2017,"Baltimore, MD"
"20181",464.318827171727,430.100110608662,521.077568034074,2018,"Baltimore, MD"
"20191",444.288811975312,407.427887651665,505.84251753261,2019,"Baltimore, MD"
"20201",427.607753319778,387.226088201692,492.161705795107,2020,"Baltimore, MD"
