"","Incidence","Incidence_low","Incidence_hi","Year","City"
"2012",45.7246467804962,40.3318747784493,51.3227179828133,2012,"Atlanta, GA"
"2013",46.4690959983214,41.2043659479704,55.2862357799807,2013,"Atlanta, GA"
"2014",46.7071641653927,41.0518314839133,56.8360791119759,2014,"Atlanta, GA"
"2015",46.3174981359798,40.3727301812401,55.9906499496447,2015,"Atlanta, GA"
"2016",45.2535216583934,39.0794570484221,54.271033164946,2016,"Atlanta, GA"
"2017",43.9238524879791,37.5870159672857,52.9276827604149,2017,"Atlanta, GA"
"2018",42.7831408703694,36.3121001283614,52.1696135293088,2018,"Atlanta, GA"
"2019",41.8334789343524,35.2166815421124,51.7041793978659,2019,"Atlanta, GA"
"2020",41.1260527261656,34.4119544039,51.1831562727593,2020,"Atlanta, GA"
"2021",40.529873801146,33.6053618316557,50.7977010099649,2021,"Atlanta, GA"
"2022",39.973939771802,32.9510108731974,50.4869189400897,2022,"Atlanta, GA"
"2023",39.6227115080361,32.4873216528987,50.1913710452863,2023,"Atlanta, GA"
"2024",39.2947934967978,32.0480029604735,50.0541400174558,2024,"Atlanta, GA"
"2025",39.0076503296755,31.7316522675756,50.0003145613604,2025,"Atlanta, GA"
"2026",38.7634046980324,31.4485093648797,49.9790621090179,2026,"Atlanta, GA"
"2027",38.5632804761668,31.2272955374775,49.9864577326931,2027,"Atlanta, GA"
"2028",38.4028572733497,31.053710493414,50.2819202567956,2028,"Atlanta, GA"
"2029",38.316584870206,30.9385676571402,50.3929794130052,2029,"Atlanta, GA"
"2030",38.2263138175382,30.8456940180989,50.7821426779648,2030,"Atlanta, GA"
"2031",38.1658973974064,30.7834308053165,51.0926444456295,2031,"Atlanta, GA"
"2032",38.1344700022302,30.7432700981927,51.3240875690459,2032,"Atlanta, GA"
"2033",38.0915874344913,30.7111058800727,51.6388333810781,2033,"Atlanta, GA"
"2034",38.0769444806546,30.6848004110755,51.9768781122995,2034,"Atlanta, GA"
"2035",38.0678858856818,30.6611907111491,52.2016407778151,2035,"Atlanta, GA"
"2036",38.0722881045739,30.6696243246638,52.5599863412667,2036,"Atlanta, GA"
"2037",38.0817654102486,30.6422477946841,52.8366218162907,2037,"Atlanta, GA"
"2038",38.1258440877442,30.5867233489702,53.1782975923205,2038,"Atlanta, GA"
"2039",38.1777402233189,30.5865634011218,53.5196447040915,2039,"Atlanta, GA"
"2040",38.2098602422732,30.638311804965,53.8594037745102,2040,"Atlanta, GA"
"20121",28.2235110017512,23.7998288256145,34.3094421258238,2012,"Baltimore, MD"
"20131",27.7909439733029,23.9148953571081,33.8272187598861,2013,"Baltimore, MD"
"20141",28.1731345544301,24.457729822644,34.5038069835513,2014,"Baltimore, MD"
"20151",28.8158713697734,25.1001742551394,35.4035060997574,2015,"Baltimore, MD"
"20161",29.1420837601605,25.3821372089963,36.0637236772514,2016,"Baltimore, MD"
"20171",28.9858616569518,25.1662643426956,36.1981023539981,2017,"Baltimore, MD"
"20181",28.7646884034538,24.7594623248484,36.1249757363751,2018,"Baltimore, MD"
"20191",28.6090183962934,24.3805283845017,36.092776263085,2019,"Baltimore, MD"
"20201",28.5092492765273,24.0134899172587,35.972724001362,2020,"Baltimore, MD"
"20211",28.4876972870831,23.7105107775335,36.0941350573522,2021,"Baltimore, MD"
"20221",28.5088114254395,23.4140821754401,36.165970295683,2022,"Baltimore, MD"
"20231",28.6160602730482,23.2965774230381,36.2099301606323,2023,"Baltimore, MD"
"20241",28.7698012035626,23.2394577656389,36.3240315202614,2024,"Baltimore, MD"
"20251",28.9176945407983,23.1743337784476,36.5687733999108,2025,"Baltimore, MD"
"20261",29.1461828276533,23.1341612466327,36.7563098571847,2026,"Baltimore, MD"
"20271",29.3667824180205,23.1499517058716,36.9713540665831,2027,"Baltimore, MD"
"20281",29.5996584494903,23.1336318700226,37.1977249711274,2028,"Baltimore, MD"
"20291",29.8622759626738,23.1569631175373,37.4379828511361,2029,"Baltimore, MD"
"20301",30.117860044317,23.28208205279,37.6964085574211,2030,"Baltimore, MD"
"20311",30.4296560360329,23.47738275565,38.0155591467952,2031,"Baltimore, MD"
"20321",30.7273597126552,23.7148846753838,38.3329649343194,2032,"Baltimore, MD"
"20331",31.0835741564148,23.9237136196264,38.6295779586982,2033,"Baltimore, MD"
"20341",31.4409580220955,24.1621502997743,38.9217272635397,2034,"Baltimore, MD"
"20351",31.7925717823409,24.3400485149594,39.2617864185925,2035,"Baltimore, MD"
"20361",32.1995499186111,24.5196110096255,39.6159715289294,2036,"Baltimore, MD"
"20371",32.5916043435407,24.8216673902666,39.9835491831139,2037,"Baltimore, MD"
"20381",33.005689751306,25.1113039518834,40.3640232646656,2038,"Baltimore, MD"
"20391",33.3954264590507,25.2969403466813,40.7674977766886,2039,"Baltimore, MD"
"20401",33.8101828794161,25.4942707412975,41.2062464216665,2040,"Baltimore, MD"
"20122",32.3145017957954,27.5546058320181,36.1474876717616,2012,"Los Angeles, CA"
"20132",31.5856923887913,28.4299563611939,34.9955774665893,2013,"Los Angeles, CA"
"20142",32.4018920395176,29.1510745080914,36.4281832004726,2014,"Los Angeles, CA"
"20152",33.4315213708416,29.7977451016437,38.165056646548,2015,"Los Angeles, CA"
"20162",34.2059249299516,30.0994225159715,39.5658326520759,2016,"Los Angeles, CA"
"20172",34.5767213468957,30.1450863196527,40.3415538194886,2017,"Los Angeles, CA"
"20182",34.8142577256899,30.1008309337008,40.8515793122649,2018,"Los Angeles, CA"
"20192",35.0246580700299,30.0083277979207,41.3730694224542,2019,"Los Angeles, CA"
"20202",35.1680953333653,29.9110212915568,41.7859117440099,2020,"Los Angeles, CA"
"20212",35.2323843140014,29.692639869154,42.0419651912246,2021,"Los Angeles, CA"
"20222",35.3225123695718,29.5568256002185,42.2699512397996,2022,"Los Angeles, CA"
"20232",35.3944025152339,29.410147110028,42.5695429065607,2023,"Los Angeles, CA"
"20242",35.3790255112647,29.1995261295326,42.8790802716179,2024,"Los Angeles, CA"
"20252",35.3218565819491,28.8879996723191,43.1595700646406,2025,"Los Angeles, CA"
"20262",35.2563427185051,28.5810927753368,43.445274546742,2026,"Los Angeles, CA"
"20272",35.1824989132265,28.4140824381226,43.6002844592809,2027,"Los Angeles, CA"
"20282",35.1255913836894,28.116256839651,43.8355927976873,2028,"Los Angeles, CA"
"20292",35.03536971963,27.7519379045046,43.8511015745981,2029,"Los Angeles, CA"
"20302",34.9298433996038,27.4384793064882,44.0146830715207,2030,"Los Angeles, CA"
"20312",34.8133134671321,27.2075969515497,44.1543130835065,2031,"Los Angeles, CA"
"20322",34.6762752969068,26.9609879581466,44.2475382542396,2032,"Los Angeles, CA"
"20332",34.5433289990835,26.6245353525411,44.3248312764878,2033,"Los Angeles, CA"
"20342",34.3759610586107,26.3718795105646,44.3908356035945,2034,"Los Angeles, CA"
"20352",34.2130808826148,26.0712168875771,44.4438610840292,2035,"Los Angeles, CA"
"20362",34.0231897702564,25.666835284846,44.4508652394062,2036,"Los Angeles, CA"
"20372",33.8368619540457,25.3952871765372,44.5038093025421,2037,"Los Angeles, CA"
"20382",33.6009667863825,25.1818111759383,44.5463048711746,2038,"Los Angeles, CA"
"20392",33.364366502518,24.8496116632349,44.552316536661,2039,"Los Angeles, CA"
"20402",33.1414412133884,24.4748630373767,44.5480632008851,2040,"Los Angeles, CA"
"20123",74.3238752708582,64.7529095351091,86.7511442464675,2012,"Miami, FL"
"20133",95.536494340231,83.7999908898013,113.481592520892,2013,"Miami, FL"
"20143",109.116843378735,92.8327322747434,133.27267965998,2014,"Miami, FL"
"20153",117.269436946115,96.5421898624396,147.535536492544,2015,"Miami, FL"
"20163",120.5596643957,97.2104046792822,154.679917762268,2016,"Miami, FL"
"20173",120.574441492206,95.0560854871836,157.342683136609,2017,"Miami, FL"
"20183",118.830680117491,91.8371404957738,157.834609475409,2018,"Miami, FL"
"20193",117.184916349509,88.9715219803797,158.807905870475,2019,"Miami, FL"
"20203",116.23155557617,86.6204441256701,158.989203238059,2020,"Miami, FL"
"20213",115.898500639269,84.4746579823947,159.197174941749,2021,"Miami, FL"
"20223",115.426452190055,82.8587664089495,160.12090222368,2022,"Miami, FL"
"20233",115.143779032978,81.3357781402009,161.007503352719,2023,"Miami, FL"
"20243",114.778610598198,80.5392855996054,161.147100956696,2024,"Miami, FL"
"20253",114.672092688918,79.6554077855371,161.13898386359,2025,"Miami, FL"
"20263",114.362262384478,78.785707351822,161.02243104484,2026,"Miami, FL"
"20273",114.079350418176,78.153720306934,160.868050187234,2027,"Miami, FL"
"20283",114.075399385038,77.8792126963612,160.152450396503,2028,"Miami, FL"
"20293",113.77873093608,77.6842493577115,159.363695209737,2029,"Miami, FL"
"20303",113.512455181356,77.5622599889055,158.756847195992,2030,"Miami, FL"
"20313",113.150395394918,77.4834212006109,158.009760597294,2031,"Miami, FL"
"20323",112.96216351494,77.4399236910227,157.267491266658,2032,"Miami, FL"
"20333",112.695231309827,77.0718775508625,157.093726402367,2033,"Miami, FL"
"20343",112.500752120015,76.9716229790314,156.444807478721,2034,"Miami, FL"
"20353",112.359985330871,76.4987281890576,155.961851293376,2035,"Miami, FL"
"20363",112.121571093774,76.2694567139736,155.756197128944,2036,"Miami, FL"
"20373",111.991182692023,76.222004005502,155.427453404931,2037,"Miami, FL"
"20383",111.784805095977,76.2289614262612,154.769421743302,2038,"Miami, FL"
"20393",111.707334342873,76.2609029606988,154.005372491915,2039,"Miami, FL"
"20403",111.505813357595,76.2959332549704,153.723756383648,2040,"Miami, FL"
"20124",39.9294335674039,35.7087098576589,45.7753606306745,2012,"New York City, NY"
"20134",36.5041267610812,32.8275673910096,42.2005232536352,2013,"New York City, NY"
"20144",34.7265538602386,30.9185192518602,40.9708218085681,2014,"New York City, NY"
"20154",32.8246761404319,28.7359491587649,39.7090961631371,2015,"New York City, NY"
"20164",30.4822641364757,26.102655972475,37.6859447619453,2016,"New York City, NY"
"20174",28.1523099943661,23.3006912958351,35.560912900886,2017,"New York City, NY"
"20184",26.2386409421425,20.9481678750346,33.7590156052541,2018,"New York City, NY"
"20194",24.8467247047035,19.1948976627607,32.4794865852548,2019,"New York City, NY"
"20204",23.8050390229026,18.0424494206114,31.5580469096434,2020,"New York City, NY"
"20214",22.9899931549391,17.1404077212081,30.7574425296857,2021,"New York City, NY"
"20224",22.3029808587008,16.404972626577,30.1268494072148,2022,"New York City, NY"
"20234",21.7295062494372,15.8563154428702,29.4886837172915,2023,"New York City, NY"
"20244",21.1998743523489,15.3748941968459,28.9165926551801,2024,"New York City, NY"
"20254",20.7433330333527,14.9910859293639,28.4109858571447,2025,"New York City, NY"
"20264",20.3200189984266,14.648255982385,27.8855614804026,2026,"New York City, NY"
"20274",19.9137340464383,14.3171820150518,27.3783203380798,2027,"New York City, NY"
"20284",19.5351392890058,14.0377429845162,26.9111329854335,2028,"New York City, NY"
"20294",19.1733486322756,13.7452047868683,26.4866844327936,2029,"New York City, NY"
"20304",18.8188266844639,13.4461231714015,26.0271122716387,2030,"New York City, NY"
"20314",18.4837644559448,13.149822824921,25.5934656935459,2031,"New York City, NY"
"20324",18.1764110832304,12.8865558566323,25.1434613443975,2032,"New York City, NY"
"20334",17.861134134907,12.6090688328426,24.7008323877178,2033,"New York City, NY"
"20344",17.5506454580008,12.3402403046731,24.2669373243148,2034,"New York City, NY"
"20354",17.2558602785899,12.0793754541556,23.8672909512473,2035,"New York City, NY"
"20364",16.952158253768,11.8583230918566,23.4795765921441,2036,"New York City, NY"
"20374",16.6677476226015,11.6471040231296,23.0737559043481,2037,"New York City, NY"
"20384",16.3983000743749,11.4119816841771,22.6965178885068,2038,"New York City, NY"
"20394",16.1292946022246,11.220731364984,22.3272063060042,2039,"New York City, NY"
"20404",15.8668094948166,10.9878758368552,21.9912356462467,2040,"New York City, NY"
"20125",18.8017266908415,16.458316221408,21.0886011446623,2012,"Seattle, WA"
"20135",16.8668864131752,15.3694689164844,18.5181044561588,2013,"Seattle, WA"
"20145",15.8244750211171,14.2808876117014,17.4642191310592,2014,"Seattle, WA"
"20155",15.0096363329246,13.3069735607477,16.8440707333458,2015,"Seattle, WA"
"20165",14.336067253587,12.4463631652358,16.512883702184,2016,"Seattle, WA"
"20175",13.8557178365502,11.8258530726839,16.2406119865928,2017,"Seattle, WA"
"20185",13.448020451728,11.2904863208654,16.0120139026266,2018,"Seattle, WA"
"20195",13.122007013941,10.8565532324647,15.8455414550129,2019,"Seattle, WA"
"20205",12.876646440582,10.5156523851509,15.7406811978002,2020,"Seattle, WA"
"20215",12.6503146731816,10.1935229746139,15.718153954444,2021,"Seattle, WA"
"20225",12.441340929961,9.89339685911349,15.6621043743318,2022,"Seattle, WA"
"20235",12.2637395337958,9.60806342329708,15.5742393135339,2023,"Seattle, WA"
"20245",12.1077305215316,9.34112819946659,15.5178578009056,2024,"Seattle, WA"
"20255",11.9679918644381,9.11556488513609,15.5040957902241,2025,"Seattle, WA"
"20265",11.8350984234922,8.90520356122094,15.4557128741389,2026,"Seattle, WA"
"20275",11.7042399615016,8.70484322806699,15.415795730963,2027,"Seattle, WA"
"20285",11.5836228014693,8.52316629526509,15.4149452073308,2028,"Seattle, WA"
"20295",11.4702559975831,8.36834334035455,15.4266889366088,2029,"Seattle, WA"
"20305",11.361311533163,8.21241909239932,15.4382187940198,2030,"Seattle, WA"
"20315",11.2656492415373,8.06930808564734,15.420778768374,2031,"Seattle, WA"
"20325",11.1667963577945,7.92896054835373,15.379159801806,2032,"Seattle, WA"
"20335",11.0802601869448,7.79735877178952,15.3952131611645,2033,"Seattle, WA"
"20345",10.9987793761182,7.68362204224909,15.4100029370271,2034,"Seattle, WA"
"20355",10.9148641357467,7.59593166031748,15.438684024847,2035,"Seattle, WA"
"20365",10.8376238002657,7.49767394793431,15.4696028199927,2036,"Seattle, WA"
"20375",10.7584577143582,7.39105257191892,15.4880597098439,2037,"Seattle, WA"
"20385",10.6794046781284,7.28972874901471,15.5319062092188,2038,"Seattle, WA"
"20395",10.6005292821442,7.18835327336231,15.5519524045398,2039,"Seattle, WA"
"20405",10.5275769921502,7.09017817722647,15.5982506018751,2040,"Seattle, WA"
